DATASET,TRAINING_RELEASES,TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,1.0,0.010638297872340425,0.5053191489361702,0.019015573289649666,1.0,0.0,859.0,93.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,1.0,0.010638297872340425,0.7142644836895945,0.019015573289649666,1.0,0.0,859.0,93.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.21739130434782608,0.05319148936170213,0.5161184454957521,0.04857385446504379,5.0,18.0,841.0,89.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.21739130434782608,0.05319148936170213,0.695093255393456,0.04857385446504379,5.0,18.0,841.0,89.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.37777777777777777,0.3617021276595745,0.6482550219205905,0.302236921833973,34.0,56.0,803.0,60.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.37777777777777777,0.3617021276595745,0.6482550219205905,0.302236921833973,34.0,56.0,803.0,60.0
OPENJPA,2,66.4200140944327,IBK,NONE,NONE,SENSITIVE_LEARNING,1.0,0.010638297872340425,0.5053191489361702,0.019015573289649666,1.0,0.0,859.0,93.0
OPENJPA,2,66.4200140944327,IBK,NONE,NONE,NONE,1.0,0.010638297872340425,0.4969843707428232,0.019015573289649666,1.0,0.0,859.0,93.0
OPENJPA,2,66.4200140944327,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,1.0,0.010638297872340425,0.5053191489361702,0.019015573289649666,1.0,0.0,859.0,93.0
OPENJPA,2,66.4200140944327,IBK,NONE,OVERSAMPLING,NONE,1.0,0.010638297872340425,0.5965187130012632,0.019015573289649666,1.0,0.0,859.0,93.0
