@relation BOOKKEEPER_TRAINING_1.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
177,362,176,60.333333333333336,8,2,60.333333333333336,354,176,59.0,0,6,2,False
46,94,46,23.5,2,1,23.5,92,46,23.0,0,4,2,False
128,274,127,27.4,18,5,27.4,256,127,25.6,0,10,3,False
149,304,148,50.666666666666664,6,2,50.666666666666664,298,148,49.666666666666664,0,6,2,False
58,118,58,29.5,2,1,29.5,116,58,29.0,0,4,2,False
149,304,149,76.0,6,3,76.0,298,149,74.5,0,4,2,False
74,156,74,39.0,8,4,39.0,148,74,37.0,0,4,2,False
37,74,37,37.0,0,0,37.0,74,37,37.0,0,2,1,False
38,80,38,20.0,4,2,20.0,76,38,19.0,0,4,2,False
39,80,39,20.0,2,1,20.0,78,39,19.5,0,4,2,False
96,214,95,26.75,22,5,26.75,192,95,24.0,0,8,2,False
88,182,87,30.333333333333332,6,2,30.333333333333332,176,87,29.333333333333332,0,6,2,False
71,156,70,19.5,14,3,19.5,142,70,17.75,0,8,2,False
114,246,113,30.75,18,4,30.75,228,113,28.5,0,8,2,False
336,828,329,69.0,156,35,69.0,672,329,56.0,0,12,3,False
84,186,83,23.25,18,5,23.25,168,83,21.0,0,8,2,False
58,126,58,21.0,10,3,21.0,116,58,19.333333333333332,0,6,2,False
123,260,122,32.5,14,4,32.5,246,122,30.75,0,8,2,False
369,738,369,369.0,0,0,369.0,738,369,369.0,0,2,1,False
231,486,224,48.6,24,6,48.6,462,224,46.2,0,10,2,False
586,1290,585,161.25,118,48,161.25,1172,585,146.5,0,8,2,False
366,780,365,78.0,48,14,78.0,732,365,73.2,0,10,2,False
99,216,98,27.0,18,4,27.0,198,98,24.75,0,8,2,False
41,82,41,41.0,0,0,41.0,82,41,41.0,0,2,1,False
66,158,65,39.5,26,13,39.5,132,65,33.0,0,4,2,False
54,110,45,18.333333333333332,2,1,18.333333333333332,108,45,18.0,0,6,3,False
47,102,47,25.5,8,4,25.5,94,47,23.5,0,4,2,False
183,406,185,50.75,40,16,50.75,374,185,46.75,0,8,3,False
49,98,49,49.0,0,0,49.0,98,49,49.0,0,2,1,False
50,100,50,50.0,0,0,50.0,100,50,50.0,0,2,1,False
98,200,97,50.0,4,2,50.0,196,97,49.0,0,4,2,False
138,276,138,138.0,0,0,138.0,276,138,138.0,0,2,1,False
43,86,43,43.0,0,0,43.0,86,43,43.0,0,2,1,False
42,84,42,42.0,0,0,42.0,84,42,42.0,0,2,1,False
56,112,56,56.0,0,0,56.0,112,56,56.0,0,2,1,False
162,326,162,81.5,2,1,81.5,324,162,81.0,0,4,2,False
6367,24444,6127,6111.0,11710,5855,6111.0,12734,6095,3183.5,0,4,2,False
153,310,153,77.5,4,2,77.5,306,153,76.5,0,4,2,False
43,86,43,43.0,0,0,43.0,86,43,43.0,0,2,1,False
41,84,41,21.0,2,1,21.0,82,41,20.5,0,4,2,False
105,310,104,51.666666666666664,100,48,51.666666666666664,210,104,35.0,0,6,2,False
105,296,103,29.6,86,39,29.6,210,103,21.0,0,10,3,False
92,252,91,31.5,68,31,31.5,184,91,23.0,0,8,3,False
101,302,100,50.333333333333336,100,48,50.333333333333336,202,100,33.666666666666664,0,6,2,False
45,90,45,45.0,0,0,45.0,90,45,45.0,0,2,1,False
289,580,289,145.0,2,1,145.0,578,289,144.5,0,4,2,False
32,70,31,17.5,6,3,17.5,64,31,16.0,0,4,2,False
111,222,111,111.0,0,0,111.0,222,111,111.0,0,2,1,False
35,72,35,18.0,2,1,18.0,70,35,17.5,0,4,2,False
81,162,81,81.0,0,0,81.0,162,81,81.0,0,2,1,False
27,54,27,27.0,0,0,27.0,54,27,27.0,0,2,1,False
28,56,28,28.0,0,0,28.0,56,28,28.0,0,2,1,False
29,60,29,15.0,2,1,15.0,58,29,14.5,0,4,2,False
566,1200,561,150.0,68,32,150.0,1132,561,141.5,0,8,3,False
64,160,64,40.0,32,16,40.0,128,64,32.0,0,4,2,False
29,60,29,15.0,2,1,15.0,58,29,14.5,0,4,2,False
64,130,64,32.5,2,1,32.5,128,64,32.0,0,4,2,False
37,80,37,20.0,6,3,20.0,74,37,18.5,0,4,2,False
68,158,68,39.5,22,11,39.5,136,68,34.0,0,4,2,False
154,330,153,55.0,22,9,55.0,308,153,51.333333333333336,0,6,2,False
72,146,72,36.5,2,1,36.5,144,72,36.0,0,4,2,False
385,800,364,66.66666666666667,30,8,66.66666666666667,770,364,64.16666666666667,0,12,3,False
76,156,76,39.0,4,2,39.0,152,76,38.0,0,4,2,False
159,326,158,54.333333333333336,8,2,54.333333333333336,318,158,53.0,0,6,2,False
737,1772,736,295.3333333333333,298,144,295.3333333333333,1474,736,245.66666666666666,0,6,2,False
74,152,74,38.0,4,2,38.0,148,74,37.0,0,4,2,False
94,194,93,32.333333333333336,6,2,32.333333333333336,188,93,31.333333333333332,0,6,2,False
22,44,22,22.0,0,0,22.0,44,22,22.0,0,2,1,False
427,878,426,146.33333333333334,24,10,146.33333333333334,854,426,142.33333333333334,0,6,2,False
62,124,62,62.0,0,0,62.0,124,62,62.0,0,2,1,False
58,118,58,29.5,2,1,29.5,116,58,29.0,0,4,2,False
91,192,91,48.0,10,5,48.0,182,91,45.5,0,4,2,False
27,56,27,14.0,2,1,14.0,54,27,13.5,0,4,2,False
77,158,77,39.5,4,2,39.5,154,77,38.5,0,4,2,False
704,1484,703,247.33333333333334,76,36,247.33333333333334,1408,703,234.66666666666666,0,6,2,False
63,134,63,33.5,8,4,33.5,126,63,31.5,0,4,2,False
37,74,37,37.0,0,0,37.0,74,37,37.0,0,2,1,False
64,130,64,32.5,2,1,32.5,128,64,32.0,0,4,2,False
124,254,124,63.5,6,3,63.5,248,124,62.0,0,4,2,False
160,334,159,41.75,14,3,41.75,320,159,40.0,0,8,2,False
36,82,36,20.5,10,5,20.5,72,36,18.0,0,4,2,False
58,120,57,30.0,4,2,30.0,116,57,29.0,0,4,2,False
62,124,62,62.0,0,0,62.0,124,62,62.0,0,2,1,False
130,284,129,35.5,24,8,35.5,260,129,32.5,0,8,2,False
74,152,73,38.0,4,2,38.0,148,73,37.0,0,4,2,False
83,172,82,28.666666666666668,6,2,28.666666666666668,166,82,27.666666666666668,0,6,2,False
74,148,74,74.0,0,0,74.0,148,74,74.0,0,2,1,False
48,100,48,25.0,4,2,25.0,96,48,24.0,0,4,2,False
60,122,60,30.5,2,1,30.5,120,60,30.0,0,4,2,False
70,152,70,25.333333333333332,12,4,25.333333333333332,140,70,23.333333333333332,0,6,2,False
183,404,180,50.5,38,12,50.5,366,180,45.75,0,8,2,False
53,106,53,53.0,0,0,53.0,106,53,53.0,0,2,1,False
452,944,450,118.0,40,17,118.0,904,450,113.0,0,8,2,False
39,78,39,39.0,0,0,39.0,78,39,39.0,0,2,1,False
78,164,78,41.0,8,4,41.0,156,78,39.0,0,4,2,False
64,130,64,32.5,2,1,32.5,128,64,32.0,0,4,2,False
31,64,31,16.0,2,1,16.0,62,31,15.5,0,4,2,False
57,122,57,30.5,8,4,30.5,114,57,28.5,0,4,2,False
104,222,104,55.5,14,7,55.5,208,104,52.0,0,4,2,False
32,64,32,32.0,0,0,32.0,64,32,32.0,0,2,1,False
227,558,226,93.0,104,50,93.0,454,226,75.66666666666667,0,6,2,False
197,416,187,52.0,22,6,52.0,394,187,49.25,0,8,3,False
75,162,75,40.5,12,6,40.5,150,75,37.5,0,4,2,False
28,56,28,28.0,0,0,28.0,56,28,28.0,0,2,1,False
52,108,52,27.0,4,2,27.0,104,52,26.0,0,4,2,False
429,1012,428,168.66666666666666,154,75,168.66666666666666,858,428,143.0,0,6,2,False
103,268,104,67.0,60,30,67.0,208,104,52.0,0,4,2,False
35,70,35,35.0,0,0,35.0,70,35,35.0,0,2,1,False
98,198,98,49.5,2,1,49.5,196,98,49.0,0,4,2,False
79,188,78,31.333333333333332,30,13,31.333333333333332,158,78,26.333333333333332,0,6,2,False
