DATASET,TRAINING_RELEASES,TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
STORM,3,60.55488540410133,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.5555555555555556,0.03289473684210526,0.5124633046760327,0.03709120692681221,5.0,4.0,498.0,147.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.5555555555555556,0.03289473684210526,0.44101881945900606,0.03709120692681221,5.0,4.0,498.0,147.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.5175438596491229,0.3881578947368421,0.6392980708743972,0.3051942458437417,59.0,55.0,447.0,93.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.5175438596491229,0.3881578947368421,0.7511008597190186,0.3051942458437417,59.0,55.0,447.0,93.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.4451219512195122,0.48026315789473684,0.6494941287481653,0.29098005203816135,73.0,91.0,411.0,79.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.4451219512195122,0.48026315789473684,0.7072040784231495,0.29098005203816135,73.0,91.0,411.0,79.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,0.8,0.02631578947368421,0.5121618788005872,0.036695071076928994,4.0,1.0,501.0,148.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_BACKWARD,NONE,NONE,0.8,0.02631578947368421,0.7609299643531139,0.036695071076928994,4.0,1.0,501.0,148.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.5555555555555556,0.03289473684210526,0.5124633046760327,0.03709120692681221,5.0,4.0,498.0,147.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.5555555555555556,0.03289473684210526,0.44101881945900606,0.03709120692681221,5.0,4.0,498.0,147.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.5175438596491229,0.3881578947368421,0.6392980708743972,0.3051942458437417,59.0,55.0,447.0,93.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.5175438596491229,0.3881578947368421,0.7511008597190186,0.3051942458437417,59.0,55.0,447.0,93.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.4451219512195122,0.48026315789473684,0.6494941287481653,0.29098005203816135,73.0,91.0,411.0,79.0
STORM,3,60.55488540410133,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.4451219512195122,0.48026315789473684,0.7072040784231495,0.29098005203816135,73.0,91.0,411.0,79.0
STORM,3,60.55488540410133,IBK,NONE,NONE,SENSITIVE_LEARNING,0.8333333333333334,0.03289473684210526,0.5154513524847977,0.04645939236316321,5.0,1.0,501.0,147.0
STORM,3,60.55488540410133,IBK,NONE,NONE,NONE,0.8333333333333334,0.03289473684210526,0.5422848081358775,0.04645939236316321,5.0,1.0,501.0,147.0
STORM,3,60.55488540410133,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,0.8666666666666667,0.08552631578947369,0.5407711260222269,0.11890156509774695,13.0,2.0,500.0,139.0
STORM,3,60.55488540410133,IBK,NONE,OVERSAMPLING,NONE,0.8666666666666667,0.08552631578947369,0.3669728978821556,0.11890156509774695,13.0,2.0,500.0,139.0
STORM,3,60.55488540410133,IBK,NONE,SMOTE,SENSITIVE_LEARNING,0.4603174603174603,0.3815789473684211,0.6230603900188719,0.2617275691947488,58.0,68.0,434.0,94.0
STORM,3,60.55488540410133,IBK,NONE,SMOTE,NONE,0.4603174603174603,0.3815789473684211,0.6321555881736213,0.2617275691947488,58.0,68.0,434.0,94.0
STORM,3,60.55488540410133,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.5202020202020202,0.6776315789473685,0.7441942755294612,0.44178106550963797,103.0,95.0,407.0,49.0
STORM,3,60.55488540410133,IBK,NONE,UNDERSAMPLING,NONE,0.5202020202020202,0.6776315789473685,0.7391814321660726,0.44178106550963797,103.0,95.0,407.0,49.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,NaN,NaN,NaN,1.0,0.0,0.0,21.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_FORWARD,NONE,NONE,NaN,NaN,NaN,1.0,0.0,0.0,21.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,NaN,NaN,1.0,0.0,0.0,21.0,0.0
