ID,Size,Predicted,Actual
0,78,3.051831305059319E-4,NO
1,302,3.1507375682277104E-4,NO
2,87,3.051831305059319E-4,NO
3,198,3.1030857197010786E-4,NO
4,175,3.1030857197010786E-4,NO
5,65,3.051831305059319E-4,NO
6,105,3.051831305059319E-4,NO
7,58,3.051831305059319E-4,NO
8,196,3.1030857197010786E-4,NO
9,106,3.051831305059319E-4,NO
10,130,3.051831305059319E-4,NO
11,64,3.051831305059319E-4,NO
12,132,3.1030857197010786E-4,NO
13,62,3.051831305059319E-4,NO
14,108,3.051831305059319E-4,YES
15,432,3.234482532402449E-4,NO
16,174,3.1030857197010786E-4,NO
17,246,3.1507375682277104E-4,NO
18,106,3.051831305059319E-4,YES
19,121,3.051831305059319E-4,NO
20,110,3.051831305059319E-4,NO
21,58,3.051831305059319E-4,NO
22,37,2.997177579266862E-4,NO
23,77,3.051831305059319E-4,NO
24,142,3.1030857197010786E-4,NO
25,114,3.051831305059319E-4,NO
26,80,3.051831305059319E-4,NO
27,59,3.051831305059319E-4,NO
28,69,3.051831305059319E-4,NO
29,95,3.051831305059319E-4,NO
30,64,3.051831305059319E-4,NO
31,164,3.1030857197010786E-4,YES
32,70,3.051831305059319E-4,NO
33,32,2.997177579266862E-4,NO
34,148,3.1030857197010786E-4,NO
35,156,3.1030857197010786E-4,NO
36,119,3.051831305059319E-4,NO
37,116,3.051831305059319E-4,NO
38,93,3.051831305059319E-4,NO
39,256,3.680322672624125E-4,YES
40,123,3.051831305059319E-4,NO
41,201,3.1030857197010786E-4,NO
42,180,3.1030857197010786E-4,NO
43,156,3.1030857197010786E-4,NO
44,98,3.051831305059319E-4,NO
45,86,3.051831305059319E-4,YES
46,48,3.051831305059319E-4,NO
47,143,3.1030857197010786E-4,YES
48,145,3.1030857197010786E-4,NO
49,113,3.051831305059319E-4,NO
50,260,3.1507375682277104E-4,NO
51,618,3.3017053937436724E-4,YES
52,39,2.997177579266862E-4,NO
53,39,2.997177579266862E-4,NO
54,39,2.997177579266862E-4,NO
55,24,2.997177579266862E-4,NO
56,62,3.051831305059319E-4,NO
57,77,3.051831305059319E-4,NO
58,77,3.051831305059319E-4,NO
59,54,3.051831305059319E-4,NO
60,92,3.051831305059319E-4,NO
61,58,3.051831305059319E-4,NO
62,24,2.997177579266862E-4,NO
63,64,3.051831305059319E-4,NO
64,216,3.1030857197010786E-4,NO
65,36,2.997177579266862E-4,NO
66,36,2.997177579266862E-4,NO
67,208,3.1030857197010786E-4,NO
68,64,3.051831305059319E-4,YES
69,39,2.997177579266862E-4,NO
