ID,Size,Predicted,Actual
0,78,0.003315313301685391,YES
1,87,0.0032126207925201036,NO
2,68,0.002907552536361858,NO
3,58,5.1236966268198717E-5,NO
4,196,1.7225943185761653E-6,NO
5,132,0.07420841563525968,NO
6,64,0.0026629696858021116,NO
7,173,2.9248262470365878E-5,NO
8,246,5.148047515696608E-10,NO
9,107,0.0022581443371846033,NO
10,121,0.9099590775167847,NO
11,110,0.006023309486177738,YES
12,58,0.00235535832675157,NO
13,37,0.0010254401959971728,NO
14,142,0.0083272761357782,YES
15,114,0.001984612989714803,NO
16,59,0.00235535832675157,NO
17,64,0.0026629696858021116,NO
18,164,7.724688112326307E-5,NO
19,70,0.0029300215243663946,NO
20,32,7.76708700467893E-4,NO
21,148,2.682289376343405E-4,NO
22,156,1.345424098772821E-4,NO
23,119,0.0016426458052660221,NO
24,118,0.001571467164139714,NO
25,156,1.345424098772821E-4,NO
26,85,0.003357567211944644,NO
27,48,0.040879375786615116,YES
28,33,7.76708700467893E-4,NO
29,69,0.030217049772226372,NO
30,77,0.03835354210203747,YES
31,83,0.9532797281706412,YES
32,48,0.012895411437690359,NO
33,85,0.045951132176373845,NO
34,43,0.7317370126713841,NO
35,90,0.04947924466137698,NO
36,202,9.691916441243538E-4,NO
37,135,0.044235944512245814,NO
38,30,0.004294119799324606,NO
39,29,0.0042234397396426,NO
40,69,0.030217049772226372,NO
41,52,0.015974367507710648,NO
42,89,0.04947924466137698,NO
43,31,0.008467408266198453,NO
44,233,0.028117933684297543,YES
45,40,0.008217053657380005,NO
46,164,0.999615819326323,YES
47,40,0.008217053657380005,NO
48,32,0.005354796348748944,NO
49,139,0.007329014586553618,NO
50,131,0.00833636990806899,YES
51,149,0.007653258201395588,YES
52,86,0.004848332160722868,NO
53,52,0.0018598209944319032,NO
54,88,0.004639328887114455,NO
55,42,0.0016760880682938847,NO
56,32,9.942125507908437E-4,NO
57,40,0.001152286637788664,NO
58,51,0.002334848086259153,NO
59,81,0.004659358371464799,NO
60,35,0.0011063874614809475,NO
61,55,0.003349480730155122,NO
62,46,0.0018775072071102043,NO
63,46,0.0018775072071102043,NO
64,27,5.97147157042059E-4,NO
65,12,2.8109480088640045E-4,NO
66,48,0.0012015667410028613,YES
67,317,0.0018605475903707854,NO
68,29,6.012318138938481E-4,NO
69,14,2.813515207245237E-4,NO
70,83,0.004626709212145706,NO
71,54,0.0020461146832293003,NO
72,83,0.004626709212145706,NO
73,40,0.0014516823580619338,NO
74,32,9.942125507908437E-4,NO
75,40,0.001152286637788664,NO
76,50,0.002269002584789835,NO
77,81,0.004659358371464799,NO
78,35,0.0011063874614809475,NO
79,54,0.002962828844820794,NO
80,46,0.0018775072071102043,NO
81,46,0.0018775072071102043,NO
82,86,0.05895095382920373,NO
83,25,4.660431788535526E-4,NO
84,152,0.3243115284778475,YES
85,94,0.00315368835768449,NO
86,29,6.339900770412479E-4,NO
87,52,4.651475934016628E-67,YES
88,43,0.0012993436323053516,NO
89,195,1.6480510407379652E-6,NO
90,243,0.9999999999999791,YES
91,28,5.735209615199096E-4,NO
92,37,0.0010254401959971728,NO
93,69,0.03924182090168129,NO
94,28,5.735209615199096E-4,NO
95,273,1.0,YES
96,36,0.005460863951174446,NO
97,51,0.0017804285565001527,NO
98,38,0.0010368129081258638,NO
99,52,0.0019715024063282414,NO
100,37,0.0010254401959971728,NO
101,46,0.001439999607533269,NO
102,5,0.0272637986409344,YES
103,113,0.001984612989714803,NO
104,36,8.60969544382862E-4,NO
105,116,0.0015214891972868013,NO
106,116,0.03353204456891005,YES
107,48,0.0020444126105951263,NO
108,32,0.0010098396769132544,NO
109,34,0.0012255925913534057,NO
110,26,5.356157332552565E-4,NO
111,50,0.0017301912318281362,NO
112,31,6.450978146734514E-4,NO
113,98,0.002880718768706587,NO
114,26,4.660431788535526E-4,NO
115,25,4.660431788535526E-4,NO
116,40,0.0011198816162858222,NO
117,59,0.00235535832675157,NO
118,36,8.60969544382862E-4,NO
119,58,0.00235535832675157,NO
120,37,0.0010254401959971728,NO
121,268,4.2977340764588005E-12,YES
122,99,0.0206212549834085,NO
123,57,0.0023484134788576,NO
124,31,8.406815777887441E-4,NO
125,70,0.0029300215243663946,NO
126,41,0.0015081047800898054,NO
127,28,7.391886237640577E-4,NO
128,34,0.0012255925913534057,NO
129,26,6.059458523902433E-4,NO
130,72,9.150664252537439E-5,NO
131,1424,1.0,YES
132,345,0.9999999179692683,YES
133,36,1.7669015030302197E-4,YES
134,32,0.002484670844336038,YES
135,49,1.787537982080371E-4,YES
136,27,8.557744472109218E-5,NO
137,423,7.664174074750994E-59,YES
138,119,9.823630449073091E-5,NO
139,153,1.0710202846924316E-4,NO
140,51,8.764742591077278E-5,NO
141,51,8.764742591077278E-5,NO
142,108,9.63692428267266E-5,NO
143,46,8.764742591077278E-5,NO
144,53,8.882962501857119E-5,NO
145,436,3.349365843186985E-4,NO
146,382,2.4875098054693483E-4,NO
147,30,8.557744472109218E-5,NO
148,22,8.468336927957349E-5,NO
149,108,0.19551081709261295,YES
150,253,0.04198879176793345,YES
151,75,9.150664252537439E-5,NO
152,93,9.462895030563745E-5,NO
153,49,8.764742591077278E-5,NO
