ID,Size,Predicted,Actual
0,79,3.6995930447650754E-4,NO
1,87,3.6995930447650754E-4,NO
2,68,3.6995930447650754E-4,NO
3,58,1.2338062924120913E-4,NO
4,196,0.5,NO
5,132,3.6995930447650754E-4,NO
6,64,9.254118082546735E-5,NO
7,134,3.6995930447650754E-4,NO
8,173,3.6995930447650754E-4,NO
9,246,0.9996300406955233,NO
10,107,3.6995930447650754E-4,NO
11,121,1.8504811250925242E-4,NO
12,110,0.9996300406955233,NO
13,58,1.2338062924120913E-4,NO
14,37,1.2338062924120913E-4,NO
15,77,0.9996300406955233,NO
16,142,0.9996300406955233,NO
17,114,3.6995930447650754E-4,NO
18,59,7.403568520026654E-5,NO
19,64,9.254118082546735E-5,NO
20,164,3.6995930447650754E-4,NO
21,70,3.6995930447650754E-4,NO
22,32,2.4680998099563147E-5,NO
23,148,3.6995930447650754E-4,NO
24,156,3.6995930447650754E-4,NO
25,119,3.6995930447650754E-4,NO
26,118,3.6995930447650754E-4,NO
27,156,3.6995930447650754E-4,NO
28,85,1.8504811250925242E-4,NO
29,48,1.2338062924120913E-4,YES
30,263,0.9996300406955233,NO
31,590,0.9996300406955233,YES
32,39,3.6995930447650754E-4,NO
33,39,3.6995930447650754E-4,NO
34,39,3.6995930447650754E-4,NO
35,24,1.8504811250925242E-4,NO
36,62,3.6995930447650754E-4,NO
37,77,3.6995930447650754E-4,NO
38,77,3.6995930447650754E-4,NO
39,54,3.6995930447650754E-4,NO
40,90,3.6995930447650754E-4,NO
41,58,3.6995930447650754E-4,NO
42,24,1.8504811250925242E-4,NO
43,64,3.6995930447650754E-4,NO
44,216,3.6995930447650754E-4,NO
45,36,3.6995930447650754E-4,NO
46,36,3.6995930447650754E-4,NO
47,202,3.6995930447650754E-4,NO
48,74,3.6995930447650754E-4,NO
49,71,3.6995930447650754E-4,NO
50,56,3.6995930447650754E-4,NO
51,44,3.6995930447650754E-4,NO
52,55,3.6995930447650754E-4,NO
53,47,9.254118082546735E-5,NO
54,101,0.9996300406955233,YES
55,109,3.6995930447650754E-4,NO
56,28,7.403568520026654E-5,NO
57,54,0.9996300406955233,YES
58,158,0.9996300406955233,YES
59,52,0.9996300406955233,YES
60,53,0.9996300406955233,YES
61,81,0.9996300406955233,YES
62,83,0.9996300406955233,YES
63,63,0.9996300406955233,YES
64,48,0.9996300406955233,YES
65,55,0.9996300406955233,YES
66,149,0.9996300406955233,YES
67,263,0.9996300406955233,YES
68,179,0.9996300406955233,YES
69,37,0.9996300406955233,YES
70,25,0.9996300406955233,YES
71,30,0.9996300406955233,YES
72,36,0.9996300406955233,YES
73,30,0.9996300406955233,YES
74,27,0.9996300406955233,YES
75,37,0.9996300406955233,YES
76,33,0.9996300406955233,YES
77,31,0.9996300406955233,YES
78,56,0.9996300406955233,YES
79,101,0.9996300406955233,YES
80,139,0.9996300406955233,YES
81,85,0.9996300406955233,YES
