Filename,Classifier,FeatureSelection,Balancing,CostSensitive,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
BOOKKEEPER, RANDOM_FOREST, BEST_FIRST_BACKWARD, SMOTE,SENSITIVE_LEARNING,3,0.29365079365079366,0.7115384615384616,0.4157303370786517,0.27845714707028574,0.7520891364902507,0.7312520587051203,0.33428006161258783,0.21153846153846154,0.36538461538461536,0.5,0.5576923076923077,0.6538461538461539,0.7115384615384616,0.75,0.8461538461538461,0.8653846153846154,0.8846153846153846,0.9615384615384616,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8113914286010127,0.21153846153846154,0.36538461538461536,0.5,0.5576923076923077,0.6538461538461539,0.7115384615384616,0.75,0.8461538461538461,0.8653846153846154,0.8846153846153846,0.9615384615384616,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8113914286010127,0.28205128205128205,0.4130434782608696,0.5098039215686274,0.5576923076923077,0.6538461538461539,0.7115384615384616,0.75,0.8461538461538461,0.8653846153846154,0.8846153846153846,0.9615384615384616,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8046558704453441,
BOOKKEEPER, RANDOM_FOREST, BEST_FIRST_FORWARD, NONE,SENSITIVE_LEARNING,43,0.23893805309734514,0.675,0.35294117647058826,0.22686193879358363,0.7448071216617211,0.7081874706097497,0.2821977603408547,0.225,0.4,0.5,0.575,0.575,0.65,0.675,0.675,0.75,0.825,0.85,0.925,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.7711738227146815,0.225,0.4,0.5,0.575,0.575,0.65,0.675,0.675,0.75,0.825,0.85,0.925,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.7711738227146815,0.28125,0.42105263157894746,0.5,0.575,0.575,0.65,0.675,0.675,0.75,0.825,0.85,0.925,0.95,1.0,1.0,1.0,1.0,1.0,1,0.7671052631578947,
BOOKKEEPER, NAIVE_BAYES, BEST_FIRST_BACKWARD, NONE,SENSITIVE_LEARNING,2,0.4,0.038461538461538464,0.07017543859649122,0.3751382437513824,0.9916434540389972,0.07405096203848154,0.09129340397050975,0.1346153846153846,0.17307692307692307,0.3076923076923077,0.34615384615384615,0.40384615384615385,0.4807692307692308,0.5769230769230769,0.6346153846153846,0.7307692307692307,0.8076923076923077,0.8269230769230769,0.9038461538461539,0.9230769230769231,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,0.7002236557358377,0.1346153846153846,0.17307692307692307,0.3076923076923077,0.34615384615384615,0.40384615384615385,0.4807692307692308,0.5769230769230769,0.6346153846153846,0.7307692307692307,0.8076923076923077,0.8269230769230769,0.9038461538461539,0.9230769230769231,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,0.7002236557358377,0.1794871794871794,0.19565217391304357,0.3137254901960784,0.34615384615384615,0.40384615384615385,0.48076923076923084,0.5769230769230769,0.6346153846153846,0.7307692307692307,0.8076923076923077,0.8269230769230769,0.9038461538461539,0.9230769230769231,0.9807692307692307,1.0,1.0,1.0,1.0,1,0.6963562753036436,
BOOKKEEPER, NAIVE_BAYES, BEST_FIRST_FORWARD, SMOTE,SENSITIVE_LEARNING,0,0.5333333333333333,0.2,0.2909090909090909,0.49338454972257784,0.9818652849740933,0.33231039017974573,0.2878106862371301,0.175,0.225,0.3,0.45,0.5,0.525,0.625,0.675,0.725,0.825,0.925,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.7305668016194332,0.175,0.225,0.3,0.45,0.5,0.525,0.625,0.675,0.725,0.825,0.925,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.7305668016194332,0.20000000000000007,0.23076923076923073,0.30000000000000004,0.44999999999999996,0.5,0.525,0.625,0.675,0.725,0.825,0.925,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1,0.7289473684210526,
BOOKKEEPER, RANDOM_FOREST, BEST_FIRST_BACKWARD, NONE,NONE,0,0.3333333333333333,0.016666666666666666,0.031746031746031744,0.42246861424821786,0.7998007968127491,0.032782568626160226,0.03511743798123554,0.11864406779661017,0.2033898305084746,0.23728813559322035,0.3220338983050847,0.3728813559322034,0.423728813559322,0.4576271186440678,0.4915254237288136,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.576271186440678,0.6101694915254238,0.7288135593220338,0.847457627118644,0.9322033898305084,1.0,0.16152346546414345,0.11864406779661017,0.2033898305084746,0.23728813559322035,0.3220338983050847,0.3728813559322034,0.423728813559322,0.4576271186440678,0.4915254237288136,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.576271186440678,0.6101694915254238,0.7288135593220338,0.847457627118644,0.9322033898305084,1.0,0.2926135329056828,0.18918918918918926,0.2727272727272727,0.28,0.34545454545454546,0.3728813559322034,0.41666666666666663,0.45000000000000007,0.4833333333333334,0.5333333333333334,0.5333333333333334,0.5333333333333334,0.5333333333333334,0.4285714285714286,0.1875,0,0,0,0,0.0,0.528099910793934,
BOOKKEEPER, RANDOM_FOREST, BEST_FIRST_FORWARD, UNDERSAMPLING,SENSITIVE_LEARNING,55,0.19130434782608696,0.9361702127659575,0.3176895306859206,0.18588146721139048,0.4,0.5605095541401275,0.23742323951907832,0.06382978723404255,0.1702127659574468,0.2127659574468085,0.3829787234042553,0.44680851063829785,0.5319148936170213,0.6170212765957447,0.723404255319149,0.7872340425531915,0.8297872340425532,0.8936170212765957,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9574468085106383,1.0,0.6645413816379991,0.06382978723404255,0.1702127659574468,0.2127659574468085,0.3829787234042553,0.44680851063829785,0.5319148936170213,0.6170212765957447,0.723404255319149,0.7872340425531915,0.8297872340425532,0.8936170212765957,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9574468085106383,1.0,0.6645413816379991,0.09375,0.20000000000000007,0.2222222222222222,0.3829787234042553,0.44680851063829785,0.5319148936170213,0.6170212765957447,0.723404255319149,0.7872340425531915,0.8297872340425532,0.8936170212765957,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9117647058823529,0.8500000000000001,0.7272727272727273,0.6000000000000006,1,0.696528555431131,
BOOKKEEPER, RANDOM_FOREST, BEST_FIRST_BACKWARD, OVERSAMPLING,NONE,2,0.2727272727272727,0.1,0.14634146341463414,0.22051577000044376,0.7794156706507306,0.18069973087274124,0.05579816219741746,0.1016949152542373,0.1864406779661017,0.22033898305084745,0.3389830508474576,0.4067796610169492,0.4406779661016949,0.5084745762711864,0.559322033898305,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.6101694915254238,0.7288135593220338,0.847457627118644,0.9322033898305084,1.0,0.3154559477748276,0.1016949152542373,0.1864406779661017,0.22033898305084745,0.3389830508474576,0.4067796610169492,0.4406779661016949,0.5084745762711864,0.559322033898305,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.6101694915254238,0.7288135593220338,0.847457627118644,0.9322033898305084,1.0,0.3140942511499731,0.16216216216216228,0.2499999999999999,0.26,0.36363636363636365,0.4067796610169492,0.43333333333333324,0.5,0.55,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.4897959183673469,0.2187499999999999,0,0,0,0,0.0,0.5495093666369313,
BOOKKEEPER, IBK, BEST_FIRST_FORWARD, UNDERSAMPLING,NONE,5,0,0.0,0.0,0.034441329595514616,1.0,0.0,0,0.18823529411764706,0.24705882352941178,0.3058823529411765,0.4,0.4588235294117647,0.5176470588235295,0.611764705882353,0.6705882352941176,0.7411764705882353,0.7764705882352941,0.8235294117647058,0.8588235294117647,0.8941176470588236,0.9294117647058824,0.9647058823529412,0.9882352941176471,1.0,1.0,1.0,0.2153458209001621,0.18823529411764706,0.24705882352941178,0.3058823529411765,0.4,0.4588235294117647,0.5176470588235295,0.611764705882353,0.6705882352941176,0.7411764705882353,0.7764705882352941,0.8235294117647058,0.8588235294117647,0.8941176470588236,0.9294117647058824,0.9647058823529412,0.9882352941176471,1.0,1.0,1.0,0.19640187413148927,0.38095238095238093,0.40384615384615385,0.44067796610169496,0.53125,0.5652173913043478,0.38297872340425543,0.3142857142857144,0.2142857142857142,0.20833333333333337,0.09523809523809534,0.117647058823529,0.07692307692307665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7040247678018576,
BOOKKEEPER, NAIVE_BAYES, BEST_FIRST_BACKWARD, UNDERSAMPLING,NONE,12,0.3333333333333333,0.2127659574468085,0.2597402597402597,0.25915134791448635,0.9028826355525051,0.34668260609683205,0.18067142567262792,0.0425531914893617,0.1276595744680851,0.1702127659574468,0.2127659574468085,0.23404255319148937,0.2765957446808511,0.3617021276595745,0.44680851063829785,0.46808510638297873,0.48936170212765956,0.5531914893617021,0.6595744680851063,0.723404255319149,0.8085106382978723,0.9787234042553191,1.0,1.0,1.0,1.0,0.41960904080659034,0.0425531914893617,0.1276595744680851,0.1702127659574468,0.2127659574468085,0.23404255319148937,0.2765957446808511,0.3617021276595745,0.44680851063829785,0.46808510638297873,0.48936170212765956,0.5531914893617021,0.6595744680851063,0.723404255319149,0.8085106382978723,0.9787234042553191,1.0,1.0,1.0,1.0,0.5576267666454413,0.06249999999999989,0.1499999999999999,0.1777777777777778,0.21276595744680848,0.23404255319148937,0.27659574468085113,0.36170212765957444,0.44680851063829785,0.46808510638297873,0.4893617021276595,0.5531914893617021,0.6595744680851063,0.723404255319149,0.8085106382978723,0.9705882352941176,1.0,1.0,1.0,1,0.555431131019037,
BOOKKEEPER, NAIVE_BAYES, BEST_FIRST_FORWARD, SMOTE,NONE,0,1.0,0.0425531914893617,0.08163265306122448,0.5596108559605422,0.8356897735072064,0.08163265306122448,0.19276702249747285,0.10638297872340426,0.19148936170212766,0.2127659574468085,0.2765957446808511,0.3617021276595745,0.44680851063829785,0.46808510638297873,0.5531914893617021,0.6382978723404256,0.6808510638297872,0.7872340425531915,0.851063829787234,0.9148936170212766,1.0,1.0,1.0,1.0,1.0,1.0,0.7119641968396168,0.10638297872340426,0.19148936170212766,0.2127659574468085,0.2765957446808511,0.3617021276595745,0.44680851063829785,0.46808510638297873,0.5531914893617021,0.6382978723404256,0.6808510638297872,0.7872340425531915,0.851063829787234,0.9148936170212766,1.0,1.0,1.0,1.0,1.0,1.0,0.6622208224461864,0.1562500000000001,0.2250000000000001,0.2222222222222222,0.27659574468085113,0.36170212765957444,0.44680851063829785,0.46808510638297873,0.5531914893617021,0.6382978723404256,0.6808510638297872,0.7872340425531915,0.851063829787234,0.9148936170212766,1.0,1.0,1.0,1.0,1.0,1,0.6573348264277715,
