Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
STORM_IBK_NONE_OVERSAMPLING_SENSITIVE_LEARNING_2.csv,26,0,0.0,0.0,0.029264069264069267,1.0,0.0,0,0.19047619047619047,0.27976190476190477,0.38095238095238093,0.4583333333333333,0.5714285714285714,0.6488095238095238,0.6964285714285714,0.7619047619047619,0.8154761904761905,0.8452380952380952,0.8988095238095238,0.9285714285714286,0.9523809523809523,0.9702380952380952,0.9940476190476191,1.0,1.0,1.0,1.0,0.2387820895124396,0.19047619047619047,0.27976190476190477,0.38095238095238093,0.4583333333333333,0.5714285714285714,0.6488095238095238,0.6964285714285714,0.7619047619047619,0.8154761904761905,0.8452380952380952,0.8988095238095238,0.9285714285714286,0.9523809523809523,0.9702380952380952,0.9940476190476191,1.0,1.0,1.0,1.0,0.2387820895124396,0.3168316831683168,0.38842975206611574,0.48120300751879697,0.5384615384615384,0.6357615894039734,0.596638655462185,0.423076923076923,0.30909090909090897,0.24390243902439024,0.13333333333333341,0.2272727272727274,0.14285714285714357,0.09999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.7575187969924811,
STORM_IBK_NONE_NONE_SENSITIVE_LEARNING_4.csv,21,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,
STORM_IBK_BEST_FIRST_BACKWARD_NONE_NONE_11.csv,0,0.9484536082474226,0.3026315789473684,0.45885286783042395,0.7230923298357056,0.6632998823369687,0.46418083428461887,0.486609800648345,0.264026402640264,0.33003300330033003,0.3927392739273927,0.44884488448844884,0.5016501650165016,0.5445544554455446,0.5775577557755776,0.7821782178217822,0.858085808580858,0.8943894389438944,0.9306930693069307,0.9570957095709571,0.976897689768977,0.9933993399339934,1.0,1.0,1.0,1.0,1.0,0.3080523116752415,0.264026402640264,0.33003300330033003,0.3927392739273927,0.44884488448844884,0.5016501650165016,0.5445544554455446,0.5775577557755776,0.7821782178217822,0.858085808580858,0.8943894389438944,0.9306930693069307,0.9570957095709571,0.976897689768977,0.9933993399339934,1.0,1.0,1.0,1.0,1.0,0.475766986095279,0.3493449781659388,0.3861003861003861,0.42652329749103934,0.4641638225255973,0.5066666666666666,0.5445544554455446,0.5775577557755776,0.7821782178217822,0.83203125,0.7317073170731709,0.6857142857142862,0.6666666666666672,0.6363636363636375,0.7000000000000026,0.7500000000000042,0.0,0.0,0.0,0.0,0.7606392218169186,
STORM_NAIVE_BAYES_BEST_FIRST_BACKWARD_SMOTE_NONE_12.csv,1,0.8,0.03908794788273615,0.07453416149068323,0.6718434653840384,0.9676351363989815,0.07522812806104037,0.14883103794563804,0.0718954248366013,0.1111111111111111,0.1895424836601307,0.2647058823529412,0.4019607843137255,0.5032679738562091,0.5947712418300654,0.6568627450980392,0.7189542483660131,0.7549019607843137,0.8071895424836601,0.8496732026143791,0.9084967320261438,0.9215686274509803,0.9640522875816994,1.0,1.0,1.0,1.0,0.09690196752364108,0.0718954248366013,0.1111111111111111,0.1895424836601307,0.2647058823529412,0.4019607843137255,0.5032679738562091,0.5947712418300654,0.6568627450980392,0.7189542483660131,0.7549019607843137,0.8071895424836601,0.8496732026143791,0.9084967320261438,0.9215686274509803,0.9640522875816994,1.0,1.0,1.0,1.0,0.22339015169703613,0.09482758620689646,0.1297709923664121,0.2049469964664311,0.2736486486486487,0.40594059405940597,0.5032679738562091,0.5947712418300654,0.6568627450980392,0.7166123778501629,0.4532374100719424,0.21052631578947378,0,0,0,0,0.0,0.0,0.0,0.0,0.6694186446508428,
STORM_IBK_BEST_FIRST_BACKWARD_OVERSAMPLING_SENSITIVE_LEARNING_5.csv,0,0.5352112676056338,0.40641711229946526,0.46200607902735563,0.5077263080350096,0.8928571428571429,0.5585770983389682,0.33153975790269335,0.2849462365591398,0.3333333333333333,0.3548387096774194,0.3709677419354839,0.3817204301075269,0.3978494623655914,0.4032258064516129,0.4032258064516129,0.4032258064516129,0.41397849462365593,0.46774193548387094,0.5913978494623656,0.7258064516129032,0.7903225806451613,0.8602150537634409,0.9193548387096774,0.9731182795698925,0.9946236559139785,1.0,0.1847715728807675,0.2849462365591398,0.3333333333333333,0.3548387096774194,0.3709677419354839,0.3817204301075269,0.3978494623655914,0.4032258064516129,0.4032258064516129,0.4032258064516129,0.41397849462365593,0.46774193548387094,0.5913978494623656,0.7258064516129032,0.7903225806451613,0.8602150537634409,0.9193548387096774,0.9731182795698925,0.9946236559139785,1.0,0.1847715728807675,0.375886524822695,0.3850931677018634,0.3793103448275863,0.3812154696132597,0.38378378378378375,0.3978494623655914,0.4032258064516129,0.4032258064516129,0.4010695187165775,0,0,0,0,0,0,0,0,0,0.0,0.5826259196378042,
STORM_RANDOM_FOREST_NONE_UNDERSAMPLING_SENSITIVE_LEARNING_4.csv,21,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,
STORM_IBK_BEST_FIRST_BACKWARD_SMOTE_NONE_2.csv,0,0.7142857142857143,0.029585798816568046,0.056818181818181816,0.6266666666666668,0.9945149923542317,0.057461935525760476,0.09762993703301495,0.19642857142857142,0.30357142857142855,0.40476190476190477,0.4583333333333333,0.5059523809523809,0.6011904761904762,0.7023809523809523,0.7619047619047619,0.8154761904761905,0.8452380952380952,0.8809523809523809,0.8988095238095238,0.9226190476190477,0.9583333333333334,0.9940476190476191,1.0,1.0,1.0,1.0,0.17470175427234783,0.19642857142857142,0.30357142857142855,0.40476190476190477,0.4583333333333333,0.5059523809523809,0.6011904761904762,0.7023809523809523,0.7619047619047619,0.8154761904761905,0.8452380952380952,0.8809523809523809,0.8988095238095238,0.9226190476190477,0.9583333333333334,0.9940476190476191,1.0,1.0,1.0,1.0,0.21596941530364114,0.3267326732673267,0.42148760330578505,0.5112781954887218,0.5384615384615384,0.5629139072847682,0.5294117647058822,0.4358974358974358,0.30909090909090897,0.24390243902439024,0.13333333333333341,0.0909090909090906,0,0,0,0.0,0.0,0.0,0.0,0.0,0.75,
STORM_NAIVE_BAYES_BEST_FIRST_BACKWARD_UNDERSAMPLING_SENSITIVE_LEARNING_16.csv,4,0.8392857142857143,0.2789317507418398,0.41870824053452116,0.7788279455807895,0.9887288666249218,0.43511310519303303,0.4346790269397527,0.142433234421365,0.18991097922848665,0.2314540059347181,0.26112759643916916,0.27299703264094954,0.27596439169139464,0.27596439169139464,0.27596439169139464,0.3115727002967359,0.3916913946587537,0.4836795252225519,0.5578635014836796,0.6231454005934718,0.7091988130563798,0.7596439169139466,0.8130563798219584,0.8724035608308606,0.9198813056379822,1.0,0.16536697027969705,0.142433234421365,0.18991097922848665,0.2314540059347181,0.26112759643916916,0.27299703264094954,0.27596439169139464,0.27596439169139464,0.27596439169139464,0.3115727002967359,0.3916913946587537,0.4836795252225519,0.5578635014836796,0.6231454005934718,0.7091988130563798,0.7596439169139466,0.8130563798219584,0.8724035608308606,0.9198813056379822,1.0,0.16536697027969705,0.2142857142857143,0.24806201550387597,0.2727272727272727,0.28664495114006516,0.2857142857142857,0.2809667673716012,0.2767857142857143,0.2767857142857143,0,0,0,0,0,0,0,0,0,0,1,0.4930501327502733,
STORM_RANDOM_FOREST_BEST_FIRST_BACKWARD_SMOTE_SENSITIVE_LEARNING_13.csv,4,0.0674061433447099,0.9186046511627907,0.12559618441971382,0.06564601147132086,0.3585680751173709,0.515799147262799,0.12467416580539503,0.36046511627906974,0.5116279069767442,0.6162790697674418,0.7093023255813954,0.7906976744186046,0.8488372093023255,0.872093023255814,0.8837209302325582,0.8837209302325582,0.8953488372093024,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9651162790697675,1.0,1.0,1.0,0.8384332925336597,0.36046511627906974,0.5116279069767442,0.6162790697674418,0.7093023255813954,0.7906976744186046,0.8488372093023255,0.872093023255814,0.8837209302325582,0.8837209302325582,0.8953488372093024,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9651162790697675,1.0,1.0,1.0,0.8384332925336597,0.36046511627906974,0.5116279069767442,0.6162790697674418,0.7093023255813954,0.7906976744186046,0.8488372093023255,0.872093023255814,0.8837209302325582,0.8837209302325582,0.8953488372093024,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9186046511627907,0.9651162790697675,1.0,1.0,1,0.8384332925336597,
STORM_IBK_NONE_NONE_SENSITIVE_LEARNING_13.csv,1,0.10426540284360189,0.7674418604651163,0.1835883171070932,0.09915442919758627,0.6672535211267605,0.7138494905967295,0.1944466710701042,0.4883720930232558,0.6046511627906976,0.6976744186046512,0.7325581395348837,0.7441860465116279,0.7441860465116279,0.7558139534883721,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7790697674418605,0.8255813953488372,0.9069767441860465,0.9418604651162791,0.9767441860465116,0.9883720930232558,0.9883720930232558,1.0,0.8008323133414933,0.4883720930232558,0.6046511627906976,0.6976744186046512,0.7325581395348837,0.7441860465116279,0.7441860465116279,0.7558139534883721,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7790697674418605,0.8255813953488372,0.9069767441860465,0.9418604651162791,0.9767441860465116,0.9883720930232558,0.9883720930232558,1.0,0.8008323133414933,0.4883720930232558,0.6046511627906976,0.6976744186046512,0.7325581395348837,0.7441860465116279,0.7441860465116279,0.7558139534883721,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7790697674418605,0.8255813953488372,0.9069767441860465,0.9418604651162791,0.9767441860465116,0.9883720930232558,0.96,1,0.8023255813953488,
