@relation OPENJPA_TRAINING_16.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
79,94,79,23.5,15,9,23.5,79,79,19.75,0,4,2,False
44,44,44,22.0,0,0,22.0,44,44,22.0,0,2,1,False
164,195,163,39.0,30,23,39.0,167,163,33.4,0,5,2,False
152,165,154,27.5,12,6,27.5,155,154,25.833333333333332,0,6,2,False
71,84,72,21.0,13,7,21.0,73,72,18.25,0,4,2,False
71,83,72,20.75,12,6,20.75,73,72,18.25,0,4,2,False
42,42,42,21.0,0,0,21.0,42,42,21.0,0,2,1,False
449,480,450,68.57142857142857,31,14,68.57142857142857,465,450,66.42857142857143,0,7,3,False
44,44,44,22.0,0,0,22.0,44,44,22.0,0,2,1,False
29,29,29,14.5,0,0,14.5,29,29,14.5,0,2,1,False
53,55,54,18.333333333333332,2,2,18.333333333333332,55,54,18.333333333333332,0,3,2,False
58,60,59,20.0,2,2,20.0,60,59,20.0,0,3,2,False
87,91,87,30.333333333333332,4,4,30.333333333333332,87,87,29.0,0,3,2,False
133,147,133,36.75,14,8,36.75,133,133,33.25,0,4,2,False
165,193,163,38.6,27,20,38.6,166,163,33.2,0,5,2,False
40,42,41,14.0,1,1,14.0,41,41,13.666666666666666,0,3,2,False
40,42,41,14.0,1,1,14.0,41,41,13.666666666666666,0,3,2,False
85,97,86,24.25,12,6,24.25,87,86,21.75,0,4,2,False
76,84,76,28.0,8,8,28.0,76,76,25.333333333333332,0,3,2,False
72,83,73,20.75,11,6,20.75,74,73,18.5,0,4,2,False
53,56,53,18.666666666666668,3,3,18.666666666666668,53,53,17.666666666666668,0,3,2,False
107,120,107,30.0,13,7,30.0,107,107,26.75,0,4,2,False
680,707,633,101.0,27,20,101.0,682,633,97.42857142857143,0,7,2,False
117,121,117,40.333333333333336,4,4,40.333333333333336,117,117,39.0,0,3,2,False
68,70,69,23.333333333333332,2,2,23.333333333333332,70,69,23.333333333333332,0,3,2,False
38,38,38,19.0,0,0,19.0,38,38,19.0,0,2,1,False
36,36,36,18.0,0,0,18.0,36,36,18.0,0,2,1,False
344,394,352,43.77777777777778,50,25,43.77777777777778,370,352,41.111111111111114,0,9,2,False
57,63,58,15.75,6,4,15.75,59,58,14.75,0,4,2,False
40,41,41,20.5,0,0,20.5,41,41,20.5,0,2,1,False
266,287,266,71.75,21,15,71.75,266,266,66.5,0,4,2,False
139,164,138,32.8,24,17,32.8,140,138,28.0,0,5,2,False
60,61,61,30.5,0,0,30.5,61,61,30.5,0,2,1,False
222,282,238,56.4,60,30,56.4,254,238,50.8,0,5,2,False
159,190,158,38.0,30,23,38.0,162,158,32.4,0,5,2,False
51,52,51,17.333333333333332,1,1,17.333333333333332,51,51,17.0,0,3,2,False
48,49,49,24.5,0,0,24.5,49,49,24.5,0,2,1,False
48,49,49,24.5,0,0,24.5,49,49,24.5,0,2,1,False
198,226,196,45.2,27,20,45.2,199,196,39.8,0,5,2,False
165,197,171,32.833333333333336,31,17,32.833333333333336,180,171,30.0,0,6,2,False
156,174,161,43.5,18,13,43.5,166,161,41.5,0,4,2,False
192,211,188,52.75,19,14,52.75,192,188,48.0,0,4,2,False
957,957,957,478.5,0,0,478.5,957,957,478.5,0,2,1,False
341,341,341,170.5,0,0,170.5,341,341,170.5,0,2,1,True
112,112,112,56.0,0,0,56.0,112,112,56.0,0,2,1,False
125,125,125,62.5,0,0,62.5,125,125,62.5,0,2,1,False
411,415,383,138.33333333333334,4,4,138.33333333333334,411,383,137.0,0,3,2,False
173,173,173,86.5,0,0,86.5,173,173,86.5,0,2,1,False
69,71,69,23.666666666666668,2,2,23.666666666666668,69,69,23.0,0,3,2,False
82,84,82,28.0,2,2,28.0,82,82,27.333333333333332,0,3,2,False
1010,1031,1013,343.6666666666667,21,21,343.6666666666667,1016,1013,338.6666666666667,0,3,2,True
329,329,329,164.5,0,0,164.5,329,329,164.5,0,2,1,True
244,254,245,84.66666666666667,10,10,84.66666666666667,246,245,82.0,0,3,2,False
84,84,84,42.0,0,0,42.0,84,84,42.0,0,2,1,False
43,43,43,21.5,0,0,21.5,43,43,21.5,0,2,1,False
69,69,69,34.5,0,0,34.5,69,69,34.5,0,2,1,False
64,64,64,32.0,0,0,32.0,64,64,32.0,0,2,1,False
161,167,161,55.666666666666664,6,6,55.666666666666664,161,161,53.666666666666664,0,3,2,False
86,86,86,43.0,0,0,43.0,86,86,43.0,0,2,1,False
304,304,304,152.0,0,0,152.0,304,304,152.0,0,2,1,False
703,703,703,351.5,0,0,351.5,703,703,351.5,0,2,1,False
1749,1757,1748,439.25,8,7,439.25,1751,1748,437.75,0,4,1,True
1179,1207,1135,241.4,28,24,241.4,1181,1135,236.2,0,5,2,False
68,68,68,34.0,0,0,34.0,68,68,34.0,0,2,1,False
1122,1206,1104,172.28571428571428,84,43,172.28571428571428,1138,1104,162.57142857142858,0,7,3,True
