ID,Size,Predicted,Actual
0,111,4.133050012859811E-8,YES
1,22,1.0332828366001522E-9,YES
2,75,2.2514271793092146E-9,NO
3,131,3.573162232099036E-8,YES
4,74,2.9079022166121662E-9,NO
5,84,3.373598010424128E-9,NO
6,70,1.1859539481569883E-9,NO
7,57,1.0230917850573698E-9,NO
8,70,1.0230917850573698E-9,NO
9,59,1.1859539481569883E-9,NO
10,88,1.1859539481569883E-9,NO
11,40,1.0230917850573698E-9,NO
12,99,2.9079022166121662E-9,NO
13,187,9.243535055026886E-9,NO
14,196,7.0481923060126424E-9,NO
15,192,5.410594154029679E-9,NO
16,97,1.1859539481569883E-9,NO
17,98,3.356446386500168E-9,NO
18,96,3.356446386500168E-9,NO
19,173,9.243535055026886E-9,NO
20,141,3.383677296035806E-9,NO
21,142,3.383677296035806E-9,NO
22,188,3.090571996337695E-8,NO
23,90,1.1859539481569883E-9,NO
24,110,3.373598010424128E-9,NO
25,62,1.0230917850573698E-9,NO
26,61,1.0230917850573698E-9,NO
27,120,1.4111763088792594E-8,NO
28,116,3.177345969879444E-9,NO
29,58,3.177345969879444E-9,NO
30,74,3.177345969879444E-9,NO
31,113,1.7341638887327908E-7,NO
32,48,1.4490916856627788E-9,NO
33,77,8.083227091118227E-9,NO
34,65,1.0230917850573698E-9,NO
35,74,2.9079022166121662E-9,NO
36,83,2.6649518292237333E-9,NO
37,128,9.243535055026886E-9,NO
38,72,3.373598010424128E-9,NO
39,76,2.9079022166121662E-9,NO
40,69,1.1859539481569883E-9,NO
41,83,2.9079022166121662E-9,NO
42,65,2.1937668592362158E-9,NO
43,88,1.1859539481569883E-9,NO
44,40,1.0230917850573698E-9,NO
45,86,2.9079022166121662E-9,NO
46,89,2.9079022166121662E-9,NO
47,49,1.0230917850573698E-9,NO
48,102,1.0230917850573698E-9,NO
49,94,1.1859539481569883E-9,NO
50,72,1.1859539481569883E-9,NO
51,60,3.373598010424128E-9,NO
52,76,3.373598010424128E-9,NO
53,92,1.9770188446892358E-8,NO
54,96,2.4386395757321684E-8,NO
55,70,9.786458951228906E-9,NO
56,86,2.2766036345115033E-8,NO
57,101,3.177345969879444E-9,NO
58,169,2.077963113394769E-8,NO
59,115,6.3638908068754374E-9,NO
60,153,1.3164280617754832E-7,NO
61,58,2.656019570044567E-9,NO
62,47,2.4064676194354683E-9,NO
63,49,2.656019570044567E-9,NO
64,58,2.656019570044567E-9,NO
65,70,2.656019570044567E-9,NO
66,141,8.00406716765428E-9,NO
67,93,3.177345969879444E-9,NO
68,273,6.091301573841764E-5,NO
69,96,0.017124839215241595,NO
70,50,2.656019570044567E-9,NO
71,241,4.846242560406093E-7,NO
72,195,9.260336041080404E-9,NO
73,131,1.1894972181479791E-9,NO
74,170,2.9315893694026294E-8,YES
75,161,3.383677296035806E-9,NO
76,102,5.696988327385875E-9,NO
77,150,2.9165901447219162E-9,NO
78,65,2.1937668592362158E-9,NO
79,88,1.1859539481569883E-9,NO
80,40,1.0230917850573698E-9,NO
81,57,1.0230917850573698E-9,NO
82,39,1.0332828366001522E-9,NO
83,85,3.373598010424128E-9,NO
84,93,7.0271971765060505E-9,NO
85,87,7.0271971765060505E-9,NO
86,81,3.373598010424128E-9,NO
87,95,7.29395692953487E-9,NO
