ID,Size,Predicted,Actual
0,118,0.005226670199354817,NO
1,22,0.0060667273934349964,NO
2,75,0.005226670199354817,NO
3,133,0.005226670199354817,NO
4,79,0.005226670199354817,NO
5,91,0.005226670199354817,NO
6,70,0.005226670199354817,NO
7,57,0.005226670199354817,NO
8,70,0.005226670199354817,NO
9,59,0.005226670199354817,NO
10,88,0.005226670199354817,NO
11,40,0.0060667273934349964,NO
12,104,0.005226670199354817,NO
13,195,0.005663356783525873,NO
14,201,0.005663356783525873,NO
15,97,0.005226670199354817,NO
16,101,0.005226670199354817,NO
17,98,0.005226670199354817,NO
18,187,0.005663356783525873,NO
19,149,0.005663356783525873,NO
20,151,0.005663356783525873,NO
21,196,0.029862788229673528,NO
22,90,0.005226670199354817,NO
23,115,0.005226670199354817,NO
24,62,0.005226670199354817,NO
25,61,0.005226670199354817,NO
26,142,1.0,YES
27,47,0.9999063292390487,YES
28,85,0.005226670199354817,NO
29,65,0.017520422811503948,NO
30,106,0.9994939637605387,NO
31,85,0.9999063292390487,NO
32,88,0.017520422811503948,NO
33,144,0.018964666705996763,NO
34,81,0.005226670199354817,NO
35,80,0.005226670199354817,NO
36,69,0.005226670199354817,NO
37,89,0.005226670199354817,NO
38,67,0.005226670199354817,NO
39,88,0.005226670199354817,NO
40,40,0.0060667273934349964,NO
41,92,0.005226670199354817,NO
42,95,0.005226670199354817,NO
43,49,0.005226670199354817,NO
44,102,0.005226670199354817,NO
45,94,0.005226670199354817,NO
46,72,0.005226670199354817,NO
47,69,0.005226670199354817,NO
48,86,0.005226670199354817,NO
49,174,0.029862788229673528,NO
50,131,0.005226670199354817,NO
51,166,0.005663356783525873,NO
52,116,0.005226670199354817,NO
53,155,0.005663356783525873,NO
54,67,0.005226670199354817,NO
55,88,0.005226670199354817,NO
56,40,0.0060667273934349964,NO
57,57,0.005226670199354817,NO
58,39,0.0060667273934349964,NO
59,98,0.005226670199354817,NO
60,106,0.005226670199354817,NO
61,101,0.005226670199354817,NO
62,94,0.005226670199354817,NO
63,76,0.005226670199354817,NO
64,116,0.005226670199354817,NO
65,56,0.005226670199354817,NO
66,48,0.005226670199354817,NO
67,82,0.005226670199354817,NO
68,45,0.0060667273934349964,NO
69,45,0.0060667273934349964,NO
70,30,0.0060667273934349964,NO
71,77,0.005226670199354817,NO
72,302,0.0077153510238865365,NO
73,86,0.027611963096929957,NO
74,198,0.005663356783525873,NO
75,175,0.005663356783525873,NO
76,68,0.027611963096929957,NO
77,105,0.005226670199354817,NO
78,194,0.005663356783525873,NO
79,106,0.005226670199354817,NO
80,97,1.0,NO
81,65,0.027611963096929957,NO
82,101,1.0,NO
83,62,0.005226670199354817,NO
84,108,0.005226670199354817,NO
85,432,0.028130170962246993,NO
