ID,Size,Predicted,Actual
0,78,0.07600446257228896,NO
1,87,0.003477120489204343,NO
2,198,0.02721121108243785,NO
3,175,0.011426773268299523,NO
4,68,0.003475377617197568,NO
5,105,0.24207229387783125,NO
6,58,0.0034800775029739345,NO
7,196,0.08007526420868971,NO
8,87,0.9950928860238707,YES
9,132,0.003525505272353497,YES
10,64,0.003475377617197568,NO
11,134,0.004042233562394086,YES
12,432,0.01898353933416357,NO
13,174,0.07847397675467396,NO
14,246,0.003932638446937663,NO
15,107,0.00349375859894458,NO
16,121,0.0035077224749097925,NO
17,110,0.003978523918076233,NO
18,58,0.0034800775029739345,NO
19,37,0.0035006951140389964,NO
20,77,0.003983659779715443,NO
21,142,0.004039309659168431,NO
22,114,0.00349375859894458,NO
23,59,0.0034800775029739345,NO
24,64,0.003475377617197568,NO
25,164,0.003602403784506282,NO
26,70,0.003475377617197568,NO
27,32,0.0035006951140389964,NO
28,148,0.0035471642466590697,NO
29,156,0.0035727693857907235,NO
30,119,0.0035077224749097925,NO
31,118,0.0035077224749097925,NO
32,230,0.6453664321688666,NO
33,156,0.0035727693857907235,NO
34,85,0.003477120489204343,NO
35,48,0.0034885076751239134,NO
36,263,0.012782364733468322,YES
37,594,0.9988199609610886,YES
38,39,0.010966239731064231,YES
39,39,0.010966239731064231,NO
40,39,0.010966239731064231,NO
41,24,0.011054127061704253,NO
42,62,0.01092527352306374,NO
43,77,0.010922201374945675,YES
44,77,0.010922201374945675,NO
45,54,0.010939937585539244,NO
46,90,0.02566846487141425,YES
47,58,0.010939937585539244,NO
48,24,0.011054127061704253,NO
49,64,0.01092527352306374,NO
50,216,0.011983860960292731,YES
51,36,0.011004262866319782,NO
52,36,0.011004262866319782,NO
53,208,0.0952862356485115,NO
54,74,0.010922201374945675,NO
55,71,0.01092527352306374,YES
56,56,0.010939937585539244,YES
57,44,0.010966239731064231,YES
58,55,0.010939937585539244,YES
59,36,0.24171441903332694,YES
60,43,0.24233323540821772,YES
61,81,0.8577259582371999,YES
62,75,0.6387735390836413,YES
63,81,0.24158702441094848,YES
64,88,0.6389552184848942,YES
65,42,0.24233323540821772,YES
66,82,0.7732331953993151,NO
67,55,0.24188772558559463,YES
68,48,0.24233323540821772,NO
69,72,0.24158702441094848,NO
70,113,0.8836904590817856,YES
71,55,0.6539362593199337,YES
72,35,0.6219288498366329,YES
73,47,0.010966239731064231,YES
74,101,0.019435729578687246,YES
75,109,0.010982622136508361,NO
76,28,0.011004262866319782,YES
77,54,0.00399017417121916,NO
78,158,0.011229083944678201,YES
79,52,0.010984907353130367,YES
80,53,0.00399017417121916,YES
81,81,0.003983659779715443,YES
82,83,0.003986785463514369,YES
83,63,0.003984788148540248,YES
84,48,0.0039998350465803405,NO
85,55,0.00399017417121916,YES
86,149,0.032714667875452144,YES
87,263,0.012782364733468322,YES
88,179,0.8919737761940895,NO
89,37,0.004013801661872886,NO
90,25,0.004032118756064196,NO
91,30,0.004013801661872886,YES
92,36,0.010929713832437734,NO
93,30,0.004013801661872886,NO
94,27,0.004032118756064196,NO
95,37,0.004013801661872886,NO
96,33,0.004013801661872886,NO
97,31,0.004013801661872886,NO
98,56,0.00399017417121916,NO
99,101,0.003994175177297417,NO
100,139,0.011195042202238282,NO
101,85,0.010930711473638924,NO
102,95,0.003994175177297417,NO
103,60,0.00399017417121916,YES
104,35,0.004013801661872886,NO
105,26,0.004032118756064196,NO
106,69,0.003984788148540248,YES
107,64,0.6202146662400627,YES
108,39,0.0039998350465803405,YES
109,41,0.0039998350465803405,NO
110,167,0.011321502224719275,YES
111,66,0.6202146662400627,YES
112,93,0.01097564373717812,NO
113,78,0.02648811241376747,YES
114,134,0.10342341133742233,YES
115,83,0.003959586413565008,YES
116,48,0.0034885076751239134,YES
117,85,0.003477120489204343,NO
118,43,0.0034885076751239134,YES
119,90,0.003477120489204343,YES
120,202,0.003716519985972059,NO
121,135,0.003525505272353497,NO
122,30,0.0035006951140389964,NO
123,29,0.0035006951140389964,NO
124,67,0.9999999999821636,NO
125,242,0.003932638446937663,YES
126,64,0.003475377617197568,YES
127,50,0.00399017417121916,NO
128,89,0.003477120489204343,YES
129,40,0.0039998350465803405,NO
130,49,0.0034885076751239134,YES
131,249,0.011297624741949182,YES
132,40,0.0034885076751239134,YES
