ID,Size,Predicted,Actual
0,111,0.6,YES
1,22,0.060109140072606086,YES
2,75,0.75,NO
3,131,0.66,YES
4,74,0.75,NO
5,84,0.55,NO
6,70,0.9551428571428572,NO
7,57,0.2125345196586996,NO
8,70,0.6305185222178996,NO
9,59,0.49500000000000005,NO
10,88,0.9971428571428571,NO
11,40,0.10044921430084196,NO
12,99,0.55,NO
13,187,0.58,NO
14,196,0.51,NO
15,192,0.56,NO
16,97,0.9763461538461539,NO
17,98,0.44,NO
18,96,0.52,NO
19,173,0.44,NO
20,141,0.4,NO
21,142,0.4,NO
22,188,0.67,NO
23,90,0.9928571428571429,NO
24,110,0.38,NO
25,62,0.06595335165798888,NO
26,61,0.3179375323254142,NO
27,120,0.77,NO
28,116,0.65,NO
29,58,0.02,NO
30,74,0.28,NO
31,113,0.5763333333333333,NO
32,48,0.3641666666666667,NO
33,77,0.5,NO
34,65,0.27382267902682256,NO
35,74,0.7,NO
36,83,0.6,NO
37,128,0.34,NO
38,72,0.63,NO
39,76,0.77,NO
40,69,0.8522238540563348,NO
41,83,0.7,NO
42,65,0.3692136471446815,NO
43,88,0.9971428571428571,NO
44,40,0.10044921430084196,NO
45,86,0.68,NO
46,89,0.67,NO
47,49,0.5023388644234837,NO
48,102,0.9933333333333333,NO
49,94,0.9740852490421456,NO
50,72,0.94,NO
51,60,0.5633333333333334,NO
52,76,0.69,NO
53,92,0.62,NO
54,96,0.65,NO
55,70,0.38,NO
56,86,0.62,NO
57,101,0.5066666666666666,NO
58,169,0.53,NO
59,115,0.45,NO
60,153,0.75,NO
61,58,0.29407142857142854,NO
62,47,0.5158333333333334,NO
63,49,0.44333333333333336,NO
64,58,0.29407142857142854,NO
65,70,0.43766666666666665,NO
66,141,0.82,NO
67,93,0.395,NO
68,273,0.75,NO
69,96,0.6333333333333333,NO
70,50,0.45333333333333337,NO
71,241,0.71,NO
72,195,0.45,NO
73,131,0.96,NO
74,170,0.75,YES
75,161,0.34,NO
76,102,0.45,NO
77,150,0.36,NO
78,65,0.3692136471446815,NO
79,88,0.9971428571428571,NO
80,40,0.10044921430084196,NO
81,57,0.2125345196586996,NO
82,39,0.4066589436012306,NO
83,85,0.52,NO
84,93,0.41,NO
85,87,0.4,NO
86,81,0.57,NO
87,95,0.2925,NO
88,66,0.13366666666666668,NO
89,94,0.3325,NO
90,76,0.99,NO
91,116,0.9966666666666667,NO
92,56,0.31136797814983763,NO
93,48,0.22346343308676145,NO
94,71,0.62,NO
95,45,0.10078871095476971,NO
96,45,0.10078871095476971,NO
97,30,0.1434546923699916,NO
98,74,0.57,NO
99,299,0.61,YES
100,82,0.48,YES
101,197,0.51,NO
102,173,0.53,NO
103,84,0.61,NO
104,75,0.12,YES
105,65,0.5,NO
106,96,0.5,NO
107,193,0.76,NO
108,98,0.725,NO
109,88,0.6285555555555555,NO
110,67,0.425,NO
111,92,0.61615231990232,NO
112,56,0.59,NO
113,101,0.39,YES
114,136,0.63,NO
115,105,0.53,NO
116,377,0.67,NO
117,174,0.74,NO
118,244,0.92,NO
119,101,0.58,YES
120,113,0.7366666666666667,NO
121,110,0.30712081627522786,NO
122,58,0.15992923117808588,NO
123,37,0.27536602782726005,NO
124,77,0.99,NO
125,142,0.9144444444444444,NO
126,118,0.9866666666666667,NO
127,80,1.0,NO
128,59,0.0,NO
129,69,0.8522238540563348,NO
130,95,0.9725757575757575,NO
131,97,0.9763461538461539,NO
132,82,0.41,NO
133,67,0.36,NO
134,110,0.32,NO
135,103,0.38,NO
136,111,0.32,NO
137,82,0.69,NO
138,56,0.51,YES
139,73,0.71,NO
140,100,0.53,NO
141,70,0.6305185222178996,YES
142,32,0.3393684141328528,NO
143,148,0.729693722943723,NO
144,156,0.0,NO
145,119,0.3337474543430425,YES
146,116,0.5918099364341455,NO
147,73,0.9159722222222223,NO
148,84,0.67,NO
149,122,0.36,NO
150,191,0.49,NO
151,170,0.52,NO
152,153,0.56,NO
153,78,0.44,NO
154,84,0.66,NO
155,140,0.815,NO
156,127,0.57,NO
157,30,0.6033333333333334,NO
158,80,0.84,NO
159,45,0.375,NO
160,63,0.205,NO
161,141,0.83,NO
162,81,0.73,NO
163,45,0.35,NO
164,63,0.205,NO
165,190,0.45,NO
166,74,0.27,NO
167,47,0.415,NO
168,65,0.215,NO
169,253,0.8016666666666666,NO
170,32,0.3269761904761905,NO
171,61,0.25000735505477056,NO
172,86,0.7388852046160567,NO
173,93,0.4375,NO
174,157,0.6448611111111111,NO
175,99,0.7008571428571428,NO
176,132,0.711018315018315,NO
177,212,0.52,NO
178,201,0.7650833333333332,NO
179,62,0.4868253968253969,NO
180,68,0.26538237056462927,NO
181,52,0.2820739008244224,NO
182,50,0.39063780301039364,NO
183,321,0.5,NO
184,79,0.31,NO
185,42,0.13855534161850863,NO
186,35,0.18020090393556518,NO
187,125,0.4088978223366499,NO
188,65,0.414,NO
189,48,0.6027536231884058,NO
