VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,IS_BUGGY
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,1028,514,0.0,0,0,0.0,1028,514,257.0,0,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,408,204,0.0,0,0,0.0,408,204,102.0,0,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,288,144,0.0,0,0,0.0,288,144,72.0,0,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,196,98,0.0,0,0,0.0,196,98,49.0,0,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,406,178,3.142857142857143,44,9,3.142857142857143,378,178,13.5,0,14,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,324,75,2.0,16,5,2.0,308,75,19.25,0,8,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,978,209,8.727272727272727,192,48,8.727272727272727,798,209,18.136363636363637,0,22,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,278,75,2.3333333333333335,14,7,2.3333333333333335,264,75,22.0,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,1112,521,2.875,46,8,2.875,1070,521,33.4375,0,16,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,1366,573,8.88888888888889,160,24,8.88888888888889,1214,573,33.72222222222222,0,18,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,296,148,0.0,0,0,0.0,296,148,74.0,0,2,False
