DATASET,TRAINING_RELEASES,TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.21428571428571427,0.05,0.6249003984063745,0.008718477547576344,3.0,11.0,240.0,57.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.3424657534246575,0.4166666666666667,0.6127158034528553,0.20826304327822587,25.0,48.0,203.0,35.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.3424657534246575,0.4166666666666667,0.6173638778220452,0.20826304327822587,25.0,48.0,203.0,35.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,0.14285714285714285,0.016666666666666666,0.49638114209827355,-0.010901635245287066,1.0,6.0,245.0,59.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_BACKWARD,NONE,NONE,0.14285714285714285,0.016666666666666666,0.5635458167330677,-0.010901635245287066,1.0,6.0,245.0,59.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.2,0.05,0.5010956175298805,0.0030662020905921185,3.0,12.0,239.0,57.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.2,0.05,0.5360889774236388,0.0030662020905921185,3.0,12.0,239.0,57.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.21428571428571427,0.05,0.5030876494023905,0.008718477547576344,3.0,11.0,240.0,57.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.21428571428571427,0.05,0.6249003984063745,0.008718477547576344,3.0,11.0,240.0,57.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.3287671232876712,0.4,0.602390438247012,0.18918504432107455,24.0,49.0,202.0,36.0
BOOKKEEPER,2,56.44257703081232,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.3287671232876712,0.4,0.6071713147410358,0.18918504432107455,24.0,49.0,202.0,36.0
BOOKKEEPER,2,56.44257703081232,IBK,NONE,NONE,SENSITIVE_LEARNING,0.125,0.016666666666666666,0.4943891102257636,-0.016742619377848416,1.0,7.0,244.0,59.0
BOOKKEEPER,2,56.44257703081232,IBK,NONE,NONE,NONE,0.125,0.016666666666666666,0.5596945551128818,-0.016742619377848416,1.0,7.0,244.0,59.0
BOOKKEEPER,2,56.44257703081232,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,0.25,0.06666666666666667,0.5094289508632138,0.026155829802910358,4.0,12.0,239.0,56.0
BOOKKEEPER,2,56.44257703081232,IBK,NONE,OVERSAMPLING,NONE,0.25,0.06666666666666667,0.5568393094289509,0.026155829802910358,4.0,12.0,239.0,56.0
BOOKKEEPER,2,56.44257703081232,IBK,NONE,SMOTE,SENSITIVE_LEARNING,0.17647058823529413,0.05,0.49711155378486055,-0.007942666727530074,3.0,14.0,237.0,57.0
BOOKKEEPER,2,56.44257703081232,IBK,NONE,SMOTE,NONE,0.17647058823529413,0.05,0.5600929614873837,-0.007942666727530074,3.0,14.0,237.0,57.0
BOOKKEEPER,2,56.44257703081232,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.2786885245901639,0.2833333333333333,0.5540172642762284,0.10735376595955282,17.0,44.0,207.0,43.0
BOOKKEEPER,2,56.44257703081232,IBK,NONE,UNDERSAMPLING,NONE,0.2786885245901639,0.2833333333333333,0.5597277556440903,0.10735376595955282,17.0,44.0,207.0,43.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,0.22105263157894736,0.44680851063829785,0.6040494166094715,0.14519682022794747,21.0,74.0,236.0,26.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_FORWARD,NONE,NONE,0.25925925925925924,0.44680851063829785,0.7007206588881263,0.1937923428391364,21.0,60.0,250.0,26.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.25,0.574468085106383,0.656588881262869,0.20197862027753802,27.0,81.0,229.0,20.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.25471698113207547,0.574468085106383,0.7076183939601922,0.208567525807824,27.0,79.0,231.0,20.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.12987012987012986,0.2127659574468085,0.498318462594372,-0.0026465028355384954,10.0,67.0,243.0,37.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.15625,0.2127659574468085,0.6420041180507893,0.03344143286424104,10.0,54.0,256.0,37.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.1986754966887417,0.6382978723404256,0.6239876458476321,0.12791191673157262,30.0,121.0,189.0,17.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.20408163265306123,0.6382978723404256,0.653054221002059,0.1371212121212122,30.0,117.0,193.0,17.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,0.20224719101123595,0.3829787234042553,0.5769732326698696,0.1116309162394865,18.0,71.0,239.0,29.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_BACKWARD,NONE,NONE,0.24,0.3829787234042553,0.6854838709677419,0.15894148586456272,18.0,57.0,253.0,29.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.25,0.574468085106383,0.656588881262869,0.20197862027753802,27.0,81.0,229.0,20.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.25471698113207547,0.574468085106383,0.7076183939601922,0.208567525807824,27.0,79.0,231.0,20.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.12987012987012986,0.2127659574468085,0.498318462594372,-0.0026465028355384954,10.0,67.0,243.0,37.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.15625,0.2127659574468085,0.6420041180507893,0.03344143286424104,10.0,54.0,256.0,37.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.19727891156462585,0.6170212765957447,0.618188057652711,0.12424242424242436,29.0,118.0,192.0,18.0
BOOKKEEPER,3,66.66666666666667,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.20279720279720279,0.6170212765957447,0.6487989018531228,0.13355887328087074,29.0,114.0,196.0,18.0
BOOKKEEPER,3,66.66666666666667,IBK,NONE,NONE,SENSITIVE_LEARNING,0.15789473684210525,0.2553191489361702,0.5244337680164722,0.03873038322408687,12.0,64.0,246.0,35.0
BOOKKEEPER,3,66.66666666666667,IBK,NONE,NONE,NONE,0.1935483870967742,0.2553191489361702,0.6624227865477007,0.08281698654979584,12.0,50.0,260.0,35.0
BOOKKEEPER,3,66.66666666666667,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,0.16666666666666666,0.2765957446808511,0.5334591626630062,0.05228863325557086,13.0,65.0,245.0,34.0
BOOKKEEPER,3,66.66666666666667,IBK,NONE,OVERSAMPLING,NONE,0.17105263157894737,0.2765957446808511,0.6362731640356898,0.05814997144178201,13.0,63.0,247.0,34.0
